,name,selling_price,km_driven,fuel,transmission
0,-,-,-,-,-
1,-,-,-,-,-
2,2013 Maruti Swift Dzire,"3,75,199","88,228 km",Diesel,Manual
3,2011 BMW 3 Series,"6,43,699","90,696 km",Diesel,Automatic
4,2014 Maruti Ertiga,"4,36,499","78,074 km",Diesel,Manual
5,2013 Maruti Ertiga,"5,41,699","27,420 km",Diesel,Manual
6,2015 Maruti Swift,"3,98,199","41,046 km",Petrol,Manual
7,2009 Maruti Ritz,"1,69,099","1,19,824 km",Petrol,Manual
8,2011 Maruti Alto K10,"1,76,499","64,499 km",Petrol,Manual
9,2017 Maruti Swift,"4,78,599","46,758 km",Petrol,Manual
10,2016 Maruti Swift,"4,69,299","57,783 km",Diesel,Manual
11,2020 Maruti New Wagon-R,"4,92,799","7,242 km",Petrol,Manual
12,2015 Maruti Wagon R 1.0,"3,77,799","62,630 km",Petrol,Manual
13,2017 Maruti Vitara Brezza,"6,89,699","34,749 km",Diesel,Manual
14,2016 Maruti Vitara Brezza,"6,80,499","54,460 km",Diesel,Manual
15,2020 Maruti New Wagon-R,"4,88,899","3,865 km",Petrol,Manual
16,2019 Maruti New Wagon-R,"4,84,799","13,139 km",Petrol,Manual
17,2016 Maruti Alto K10,"3,15,799","30,268 km",Petrol,Manual
18,2019 Hyundai Creta,"12,03,899","17,135 km",Petrol,Automatic
19,2019 Hyundai Creta,"13,57,099","9,627 km",Petrol,Automatic
20,2015 Honda Amaze,"4,91,599","62,462 km",Petrol,Manual
21,2020 KIA SELTOS,"11,59,099","5,822 km",Petrol,Manual
22,2013 Maruti Swift Dzire,"3,75,199","88,228 km",Diesel,Manual
23,2011 BMW 3 Series,"6,43,699","90,696 km",Diesel,Automatic
24,2014 Maruti Ertiga,"5,95,699","86,390 km",Diesel,Manual
25,2013 Maruti Ertiga,"5,41,699","27,420 km",Diesel,Manual
26,2018 Maruti Swift,"5,04,999","80,785 km",Petrol,Manual
27,2009 Maruti Ritz,"1,69,099","1,19,824 km",Petrol,Manual
28,2011 Maruti Alto K10,"1,76,499","64,499 km",Petrol,Manual
29,2017 Maruti Swift,"4,78,599","46,758 km",Petrol,Manual
30,-,-,-,-,-
31,2020 Maruti New Wagon-R,"4,92,799","7,242 km",Petrol,Manual
32,2015 Maruti Wagon R 1.0,"3,77,799","62,630 km",Petrol,Manual
33,2017 Maruti Vitara Brezza,"6,89,699","34,749 km",Diesel,Manual
34,2017 Maruti Wagon R 1.0,"4,02,699","4,956 km",Petrol,Manual
35,2020 Maruti New Wagon-R,"4,92,799","7,242 km",Petrol,Manual
36,2019 Maruti New Wagon-R,"4,84,799","13,139 km",Petrol,Manual
37,2016 Maruti Alto K10,"3,15,799","30,268 km",Petrol,Manual
38,2019 Hyundai Creta,"12,03,899","17,135 km",Petrol,Automatic
